Marche;Origine;Heure;Terminus;Heure
Ligne Marseille - Briançon;;;;
880168;Marseille-St-Charles - BV;17.23;Aix-en-Provence - BV;18.08
880179;Aix-en-Provence - BV;18.23;Marseille-St-Charles - BV;19.07
880170;Marseille-St-Charles - BV;17.53;Aix-en-Provence - BV;18.38
880172;Marseille-St-Charles - BV;18.11;Aix-en-Provence - BV;18.51
880183;Aix-en-Provence - BV;18.53;Marseille-St-Charles - BV;19.37
880677;Pertuis - BV;18.33;Aix-en-Provence - BV;19.04
880678;Marseille-St-Charles - BV;18.23;Pertuis - BV;19.36
880185;Aix-en-Provence - BV;19.23;Marseille-St-Charles - BV;20.07
880176;Marseille-St-Charles - BV;18.53;Aix-en-Provence - BV;19.38
880189;Aix-en-Provence - BV;19.53;Marseille-St-Charles - BV;20.37
880681;Pertuis - BV;19.52;Marseille-St-Charles - BV;21.07
880182;Marseille-St-Charles - BV;19.53;Aix-en-Provence - BV;20.37
880186;Marseille-St-Charles - BV;20.53;Aix-en-Provence - BV;21.38
880197;Aix-en-Provence - BV;22.00;Marseille-St-Charles - BV;22.42
880190;Marseille-St-Charles - BV;21.53;Aix-en-Provence - BV;22.38
Ligne Marseille - Aubagne;;;;
881005;Marseille-St-Charles - BV;06.08;Aubagne - 00;06.40
881008;Aubagne - 00;06.51;Marseille-St-Charles - BV;07.17
881009;Marseille-St-Charles - BV;06.38;Aubagne - 00;07.13
881012;Aubagne - 00;07.21;Marseille-St-Charles - BV;07.47
881013;Marseille-St-Charles - BV;07.08;Aubagne - 00;07.40
881016;Aubagne - 00;07.51;Marseille-St-Charles - BV;08.17
881017;Marseille-St-Charles - BV;07.38;Aubagne - 00;08.10
881020;Aubagne - 00;08.21;Marseille-St-Charles - BV;08.47
881021;Marseille-St-Charles - BV;08.08;Aubagne - 00;08.40
881024;Aubagne - 00;08.51;Marseille-St-Charles - BV;09.17
881025;Marseille-St-Charles - BV;08.38;Aubagne - 00;09.10
881028;Aubagne - 00;09.21;Marseille-St-Charles - BV;09.47
881029;Marseille-St-Charles - BV;09.08;Aubagne - 00;09.40
881032;Aubagne - 00;09.51;Marseille-St-Charles - BV;10.17
881033;Marseille-St-Charles - BV;09.38;Aubagne - 00;10.10
881036;Aubagne - 00;10.51;Marseille-St-Charles - BV;11.17
881057;Marseille-St-Charles - BV;15.43;Aubagne - 00;16.10
881060;Aubagne - 00;16.21;Marseille-St-Charles - BV;16.52
881061;Marseille-St-Charles - BV;16.13;Aubagne - 00;16.40
881064;Aubagne - 00;16.51;Marseille-St-Charles - BV;17.22
881065;Marseille-St-Charles - BV;16.43;Aubagne - 00;17.10
881068;Aubagne - 00;17.21;Marseille-St-Charles - BV;17.52
881069;Marseille-St-Charles - BV;17.13;Aubagne - 00;17.40
881072;Aubagne - 00;17.51;Marseille-St-Charles - BV;18.22
881073;Marseille-St-Charles - BV;17.43;Aubagne - 00;18.10
881076;Aubagne - 00;18.21;Marseille-St-Charles - BV;18.52
881077;Marseille-St-Charles - BV;18.13;Aubagne - 00;18.40
881080;Aubagne - 00;18.51;Marseille-St-Charles - BV;19.22
881081;Marseille-St-Charles - BV;18.43;Aubagne - 00;19.10
881084;Aubagne - 00;19.51;Marseille-St-Charles - BV;20.22
Ligne Marseille - Toulon - Hyères - Les Arcs Draguignan;;;;
881405;Marseille-St-Charles - BV;07.04;Toulon - BV;08.01
881409;Marseille-St-Charles - BV;08.02;Toulon - BV;09.02
881412;Toulon - BV;05.56;Marseille-St-Charles - BV;06.57
881416;Toulon - BV;06.22;Marseille-St-Charles - BV;07.15
881426;Toulon - BV;10.26;Marseille-St-Charles - BV;11.27
881439;Marseille-St-Charles - BV;12.20;Toulon - BV;13.32
881443;Marseille-St-Charles - BV;16.44;Toulon - BV;17.37
881449;Marseille-St-Charles - BV;19.02;Toulon - BV;20.02
881452;Toulon - BV;13.56;Marseille-St-Charles - BV;14.57
881459;Marseille-St-Charles - BV;19.43;Toulon - BV;21.02
881462;Toulon - BV;14.56;Marseille-St-Charles - BV;15.57
881475;Marseille-St-Charles - BV;21.07;Toulon - BV;22.07
881482;Toulon - BV;19.26;Marseille-St-Charles - BV;20.27
881600;Hyères - BV;06.02;Marseille-St-Charles - BV;07.27
881602;Hyères - BV;06.32;Marseille-St-Charles - BV;07.57
881603;Marseille-St-Charles - BV;06.02;Hyères - BV;07.27
881604;Hyères - BV;07.02;Marseille-St-Charles - BV;08.27
881605;Marseille-St-Charles - BV;06.32;Hyères - BV;07.57
881606;Hyères - BV;07.32;Marseille-St-Charles - BV;08.57
881607;Marseille-St-Charles - BV;07.32;Hyères - BV;08.57
881608;Hyères - BV;08.02;Marseille-St-Charles - BV;09.27
881609;Marseille-St-Charles - BV;08.32;Hyères - BV;09.57
881610;Hyères - BV;08.32;Marseille-St-Charles - BV;09.57
881611;Marseille-St-Charles - BV;09.32;Toulon - BV;10.32
881612;Hyères - BV;09.32;Marseille-St-Charles - BV;10.57
881613;Marseille-St-Charles - BV;10.02;Hyères - BV;11.27
881615;Marseille-St-Charles - BV;10.25;Toulon - BV;11.37
881616;Hyères - BV;11.02;Marseille-St-Charles - BV;12.27
881617;Marseille-St-Charles - BV;11.02;Hyères - BV;12.27
881618;Toulon - BV;11.56;Marseille-St-Charles - BV;12.57
881619;Marseille-St-Charles - BV;11.32;Toulon - BV;12.32
881620;Hyères - BV;12.02;Marseille-St-Charles - BV;13.36
881621;Marseille-St-Charles - BV;12.02;Hyères - BV;13.27
881622;Toulon - BV;12.56;Marseille-St-Charles - BV;13.57
881623;Marseille-St-Charles - BV;13.02;Hyères - BV;14.27
881624;Hyères - BV;13.02;Marseille-St-Charles - BV;14.36
881625;Marseille-St-Charles - BV;13.27;Toulon - BV;14.39
881626;Hyères - BV;14.02;Marseille-St-Charles - BV;15.39
881627;Marseille-St-Charles - BV;14.03;Hyères - BV;15.27
881628;Hyères - BV;15.02;Marseille-St-Charles - BV;16.27
881629;Marseille-St-Charles - BV;14.27;Toulon - BV;15.35
881630;Toulon - BV;15.56;Marseille-St-Charles - BV;16.57
881631;Marseille-St-Charles - BV;15.02;Hyères - BV;16.27
881632;Hyères - BV;16.02;Marseille-St-Charles - BV;17.27
881633;Marseille-St-Charles - BV;15.32;Toulon - BV;16.32
881634;Toulon - BV;16.52;Marseille-St-Charles - BV;17.53
881635;Marseille-St-Charles - BV;16.02;Hyères - BV;17.27
881636;Hyères - BV;17.02;Marseille-St-Charles - BV;18.28
